LBP,Labels
"[[ 1  0  0 ...  0 25 25]
 [ 4  5  6 ... 25 25 25]
 [ 4  7  8 ... 25 25 25]
 ...
 [ 1  5  5 ... 11 10  9]
 [ 0  1  1 ... 10  9 25]
 [ 0  1  0 ...  3  4  3]]",2
"[[ 1 25  9 ...  3  3  3]
 [ 8  9 10 ...  3  3  3]
 [ 9 10 11 ...  3  3  3]
 ...
 [ 0  0  1 ... 11  9  7]
 [ 0  0  2 ... 10  9  7]
 [ 0  0  1 ...  9  8  6]]",2
"[[ 7  8  7 ...  9  8  2]
 [ 8  9  8 ... 25  9  3]
 [ 9 10 25 ...  1  0  3]
 ...
 [ 0  0  0 ... 11  9  1]
 [ 0  0  1 ... 10  9  4]
 [ 3  2  6 ...  9  8  7]]",2
"[[ 0  0  0 ...  5  3  0]
 [ 1 25  7 ...  2  1  0]
 [ 9 10  9 ...  1  1  0]
 ...
 [ 4  5  5 ... 11  9  2]
 [ 0  4  4 ... 10  8  0]
 [ 0  2  1 ...  9 25  0]]",2
"[[ 7 25  0 ...  1  2  0]
 [ 8  5 25 ... 25  2  1]
 [ 9  7  8 ... 25 10  0]
 ...
 [ 4  5  5 ...  3  2  2]
 [ 1  3  4 ...  3  2  1]
 [ 0  2  2 ...  6  3  1]]",2
"[[ 7  8  8 ...  3  3  3]
 [ 7  8  2 ...  3  3  3]
 [ 9 25  0 ...  3  3  3]
 ...
 [ 0  0 25 ... 11 10  8]
 [ 0  1  3 ... 10  9  8]
 [ 1  1  2 ...  9  8  7]]",2
"[[ 0  0  0 ... 25  8  7]
 [25 25  1 ... 25  0  0]
 [ 2 25 25 ... 25  0  0]
 ...
 [ 1  5  6 ... 11 25  1]
 [ 0  3  4 ... 10 25  1]
 [ 0  0  1 ...  2 25 25]]",2
"[[ 0  4  7 ...  9  8  7]
 [ 0  5  3 ... 25  0  0]
 [25 10  9 ...  0 25  0]
 ...
 [ 1  5  6 ...  6  5  3]
 [ 0  2  4 ...  4  4  3]
 [ 1  1  0 ...  4  3  2]]",2
"[[ 7  7  2 ...  3 25 25]
 [25  0  0 ...  6  5 25]
 [25 25  3 ...  7  6 25]
 ...
 [ 0  0 25 ...  9 10  9]
 [ 0  2  4 ... 10  9  7]
 [ 2  2  8 ...  9  8  2]]",2
"[[ 0  0 25 ...  1  1 25]
 [ 3  6 10 ...  6  9  8]
 [ 6  8 10 ...  7 10  9]
 ...
 [ 5  6  8 ... 25 25  9]
 [ 2  4  5 ... 25 25  0]
 [ 0  0  1 ... 25 25  1]]",2
"[[ 7  6  4 ...  9  4  4]
 [ 8  5  6 ... 10  5  4]
 [ 4  5  6 ...  5  5  5]
 ...
 [ 1 25  5 ...  7  3  3]
 [ 0  1  4 ...  5  3  2]
 [ 0  0  1 ...  4  2  2]]",2
"[[ 5 25 25 ...  3  8  7]
 [ 8 25  3 ...  0  0 25]
 [ 9 25  2 ...  1  1  0]
 ...
 [ 4  5  6 ... 25 25  9]
 [ 0  4 25 ... 25  3 25]
 [ 1  1  1 ...  1  1  1]]",2
"[[ 0  1  7 ...  9  8  7]
 [ 0  1  7 ...  1  9  8]
 [ 3  3  7 ... 11 10  9]
 ...
 [25  4  5 ... 25 25  0]
 [ 0  0  4 ...  0  2  0]
 [ 1  1  1 ...  0  1  0]]",2
"[[ 3 25  9 ... 25  0  0]
 [ 5  6 10 ... 25  3  0]
 [ 6  6 25 ... 25  5  4]
 ...
 [ 0 25  5 ...  1  1  0]
 [ 0  0  1 ...  0  0  0]
 [ 0  0  0 ...  0  0 25]]",2
"[[ 7  8  6 ...  4  4  5]
 [ 8  9 25 ...  3  3 25]
 [ 9 25  1 ...  3 25 25]
 ...
 [ 0  0  0 ... 11  9  1]
 [ 0  0  0 ... 10  9 25]
 [ 0  0  1 ...  1  2  7]]",2
"[[ 2  2  5 ...  5  0  0]
 [ 3  4  6 ...  5  6  0]
 [ 0  0  6 ...  4 25  8]
 ...
 [ 0  1 25 ... 11 25  3]
 [ 1  2  2 ... 10  9  8]
 [ 0  0  0 ...  9  8  7]]",2
"[[25  8  6 ...  3 25 25]
 [ 2 25  7 ...  3  3 25]
 [ 3 25 25 ...  3  3 25]
 ...
 [ 0  0  0 ... 11 10  8]
 [ 0  0  1 ... 10  9  8]
 [ 0  0  1 ...  9  8  7]]",2
"[[25 25 25 ...  9  0  0]
 [ 0 25  2 ... 10  0  0]
 [ 0  0  2 ... 11 10  0]
 ...
 [ 0  0  1 ...  1  0  0]
 [ 0  0  1 ...  0  0  0]
 [ 0  2  3 ...  0  0  0]]",2
"[[ 5  5  5 ...  9  8 25]
 [ 1 25  7 ... 25 25  7]
 [ 0  0 25 ... 25 25  8]
 ...
 [ 4  5  5 ...  7  6  2]
 [ 0  3  4 ...  7  8  2]
 [ 1  2  2 ...  9  7  1]]",2
"[[ 5  8  9 ...  5  0  0]
 [ 6  8  7 ...  5  6  1]
 [ 7  5  5 ...  5  8  7]
 ...
 [ 4  6  7 ...  9  8  7]
 [ 3  5  6 ... 10  8  4]
 [ 0  0  3 ...  9  8  5]]",2
"[[ 1  2 25 ... 25  0  1]
 [ 2  3 10 ... 25  0  0]
 [ 2  2 11 ... 25  0  0]
 ...
 [ 0  0  0 ...  3  9  9]
 [ 0  0  0 ...  0  2  5]
 [ 0  0  2 ...  0  0  1]]",2
"[[25  0  0 ...  9  8  7]
 [ 1  0  0 ... 25  0  1]
 [ 1  1  6 ...  0  0  0]
 ...
 [ 5  5  5 ...  8  4  3]
 [ 2  4  5 ...  6  4  3]
 [ 2  1  1 ...  6  4  3]]",2
"[[ 7  8  9 ... 25  0  1]
 [ 4  8 10 ... 10  9 25]
 [ 0 25 25 ... 11 10 25]
 ...
 [ 4  5  5 ... 11 25 25]
 [ 0  1  5 ... 10  9  8]
 [ 1  0  2 ... 25 25  7]]",2
"[[ 7  8  9 ... 25  0  0]
 [ 7  8  6 ...  6  9  0]
 [ 8 25 25 ...  6 10  9]
 ...
 [ 4  5  6 ...  0  1 25]
 [ 0  2  2 ...  1  0  7]
 [ 0  2  1 ... 25  5  1]]",2
"[[ 2  4  4 ... 25  8  3]
 [ 8  5  7 ...  5  4  4]
 [ 9  8  7 ...  4  4  2]
 ...
 [25  5  6 ...  7  5  3]
 [ 0  1  4 ...  6  4  3]
 [ 0  2  2 ...  3  3  2]]",2
"[[ 7  5  3 ...  6  7 25]
 [ 0  0  0 ...  9  9  8]
 [ 0  0  0 ... 25 10  9]
 ...
 [ 0  2  5 ... 11 10 25]
 [ 0  2  3 ... 10  9 25]
 [ 0  1  2 ...  3  8  7]]",2
"[[ 2  6  9 ...  9  8  7]
 [ 3  6 10 ... 10  9  8]
 [ 0  0 25 ... 11 10  9]
 ...
 [ 4  5  5 ... 25  6  4]
 [ 2  3 25 ...  6  4  0]
 [ 1  2  2 ...  0  0  0]]",2
"[[25 25 25 ...  6  3  2]
 [ 1 25 25 ... 25 25  8]
 [ 2  5 11 ... 25 25  7]
 ...
 [ 5  6  7 ... 11 10  9]
 [ 4  4  5 ...  8  9  8]
 [ 1  1  4 ...  6 25  7]]",2
"[[ 1  2  4 ...  4 25  7]
 [ 3  5  7 ...  0  0  1]
 [ 3  6  9 ...  0  0  0]
 ...
 [ 0  0  0 ... 10 10  9]
 [ 0  1  1 ... 10  9  8]
 [ 2  4  3 ...  9  8  7]]",2
"[[ 7  6  4 ...  2 25  4]
 [ 8  3  0 ...  0  3  4]
 [ 4  0  0 ...  1  3  4]
 ...
 [ 0  0  0 ...  4  4 25]
 [ 0  1 25 ... 25  9  8]
 [ 0  0  1 ...  9  8  7]]",2
"[[ 1  5  2 ...  5  8  0]
 [ 1 25  1 ...  5  9  0]
 [25 25  6 ...  5 10  9]
 ...
 [ 5  5  5 ...  7  5  3]
 [ 1  4  6 ...  6  3  0]
 [ 1  1  2 ... 25  0  0]]",2
"[[ 1  6  7 ...  9  8  7]
 [ 0  0  0 ... 10  9  8]
 [ 0  0  1 ... 25 10  9]
 ...
 [ 5  4  5 ...  3  4  1]
 [ 0  4  5 ...  7  6  2]
 [ 2  2  2 ...  7  6  4]]",2
"[[ 0  2 25 ...  9  8  7]
 [ 8  9 25 ... 10  9  8]
 [ 9 10 25 ... 11 10  9]
 ...
 [ 5  6  6 ... 25 10  7]
 [ 3  4  5 ... 25  8 25]
 [ 0  0  4 ...  9  6  1]]",2
"[[ 0  0  0 ...  9  1  0]
 [25  4  4 ... 10  9  1]
 [ 9 25  5 ... 11 10  0]
 ...
 [ 0  5  6 ... 10 10  9]
 [ 3  4  4 ...  9  8  8]
 [ 1  1  3 ...  1  1 25]]",2
"[[ 7  8  3 ... 25  3  3]
 [ 8  9  0 ...  3  2  2]
 [25  5  0 ...  3  2  2]
 ...
 [ 5  5  5 ... 25  4  1]
 [ 3  4  5 ...  8  5  2]
 [25  3  2 ...  8  6  3]]",2
"[[ 7  8  1 ... 25  0  0]
 [25  3  0 ...  3  0  0]
 [25  3  0 ...  9  1  1]
 ...
 [ 4  5 25 ... 25 25 25]
 [ 2  3  4 ... 25 25  1]
 [ 0  0  2 ...  9 25  1]]",2
"[[25 25  9 ...  9  6  5]
 [ 8  9 10 ... 25 25  7]
 [ 9 10 10 ... 25 25 25]
 ...
 [ 4  6  8 ... 11  6  0]
 [ 3  4  6 ... 10 25  3]
 [ 0  2  3 ... 25 25  2]]",2
"[[ 2  8  9 ... 25 25 25]
 [ 0  9 10 ... 25 25 25]
 [ 0 25 11 ... 25 25 25]
 ...
 [ 4  5  5 ...  9  5  3]
 [ 0  3  5 ...  5 25  8]
 [ 3 25  3 ...  4  4  4]]",2
"[[ 7  8  9 ... 25  8  7]
 [ 8  9 10 ... 25  9  8]
 [ 9 25 25 ... 25 10  9]
 ...
 [ 4  6  9 ... 25  9  8]
 [ 3  4  5 ... 10  9  8]
 [ 0  0  1 ...  9  8  7]]",2
"[[ 2  2  1 ... 25  8  7]
 [ 1  2  3 ...  5  9  8]
 [ 0  2  8 ...  6 10  9]
 ...
 [ 0 25  5 ...  4  8  5]
 [ 0  1  3 ... 10  9  6]
 [ 0  3  4 ...  9  8  7]]",2
"[[ 0  4  7 ... 25 25 25]
 [ 0 25  3 ...  1  2  0]
 [25 25  3 ...  0  0  0]
 ...
 [ 0  0  0 ...  9  9  8]
 [ 0  1  2 ...  8 25 25]
 [ 1  2  6 ...  7  7  6]]",2
"[[25 25 25 ...  9  2  1]
 [25  9 25 ...  9  0  0]
 [ 0 25 11 ...  1  1  0]
 ...
 [ 0  0  4 ... 11 10  0]
 [ 1  1  2 ... 10 25 25]
 [ 1  1  0 ... 25 25 25]]",2
"[[ 7  8 25 ...  0  8  7]
 [ 0  4  1 ...  1  9  8]
 [ 0 25 25 ... 25 10  9]
 ...
 [ 0  0 25 ... 10  9  8]
 [ 0  0  1 ... 10  9  7]
 [ 0  2  2 ...  9  8  7]]",2
"[[ 7  8  9 ...  9  8  7]
 [ 2  3  2 ...  5  6  7]
 [ 0  3  2 ...  5  8  8]
 ...
 [ 0  1  1 ... 10 10  9]
 [ 1 25  4 ...  4  3 25]
 [ 2  5  5 ...  2  0  0]]",2
"[[ 4  5  5 ...  5  8  7]
 [ 2  2  4 ... 25 25  8]
 [ 1  3  1 ...  0 25  9]
 ...
 [ 2  4  5 ...  3  3  2]
 [ 1  3  3 ...  4  3  2]
 [ 0  0  2 ... 25  3  3]]",2
"[[ 3  4 25 ...  9  8  2]
 [ 5  5  7 ... 10  4  3]
 [ 5  5  7 ...  3  3  4]
 ...
 [ 4  5  6 ...  4  8  0]
 [ 2  4  5 ... 25  6  0]
 [ 0  1  1 ... 25  5  0]]",2
"[[ 7  6  4 ... 25  8  1]
 [ 8  9  1 ... 25  9  8]
 [ 1  0  0 ... 25 25  9]
 ...
 [ 4  5  5 ... 25 25 25]
 [ 0  2  2 ...  3  4 25]
 [ 0  0  1 ...  0  0 25]]",2
"[[ 7  3 25 ... 25  8  7]
 [25  3  3 ... 25  9  8]
 [ 9 25 25 ... 25 25  9]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0 25 ...  1  0  1]
 [ 0  0  3 ...  3  2  4]]",2
"[[ 7 25 25 ...  4  4  4]
 [ 8 25 25 ...  4  4  5]
 [ 9 25 25 ...  4  4  7]
 ...
 [ 0  0  0 ... 11 10  9]
 [ 0  0  1 ... 10  8  7]
 [ 1  1  2 ...  9  2  0]]",2
"[[ 7  6  6 ...  6  5  4]
 [ 7  7  5 ...  7  6  5]
 [ 8  8 25 ... 25 25 25]
 ...
 [ 5  6  6 ... 25  9  8]
 [ 3  5  5 ... 10  9  7]
 [ 0  0 25 ...  9  8  6]]",2
"[[ 5  7  8 ... 25  2  1]
 [ 5  6  0 ... 25  4  1]
 [ 5  3  0 ...  9  5  2]
 ...
 [ 4  5  5 ... 25 25 25]
 [ 0  3  4 ...  4 25 25]
 [ 0  0  0 ...  8  8  7]]",2
"[[ 3 25 25 ...  4 25  7]
 [ 5  6 25 ...  0  3  0]
 [ 6  7  8 ...  0  0  0]
 ...
 [ 0  0 25 ... 11 10  7]
 [ 0  0  2 ... 10  9  8]
 [ 0  0  0 ...  9  8 25]]",2
"[[ 7  8  9 ...  7  8  7]
 [ 8  9 10 ...  9  9  8]
 [ 7 10 11 ... 10 10  9]
 ...
 [ 0  2  5 ... 11 10  9]
 [ 0  1  1 ... 10  9  8]
 [ 0  1  1 ... 25  8  7]]",2
"[[ 0  4  9 ... 25 25 25]
 [ 0 25 10 ...  3  3 25]
 [25  8 11 ...  3  3  1]
 ...
 [ 0  0  1 ...  9  6  6]
 [ 1  1  1 ...  9  8  8]
 [ 1  2  2 ...  9  8  7]]",2
"[[ 0  1  2 ...  5  8  7]
 [ 0  2  3 ...  4 25  8]
 [25  9  3 ...  4 25  9]
 ...
 [ 0  2  4 ...  7  4  1]
 [ 0  1  1 ... 25  0  1]
 [ 0  0  2 ... 25  0  1]]",2
"[[ 2  3  7 ...  9  8  7]
 [ 2  4  8 ... 10  9  8]
 [ 0  6  9 ... 25 25  0]
 ...
 [ 0 25  6 ... 10  4  3]
 [ 0  4  5 ...  9  7  3]
 [ 0  1  2 ...  8  7  3]]",2
"[[25 25  9 ...  9  8  7]
 [ 4  9 10 ... 10  9  8]
 [ 5  6 11 ... 11 10  9]
 ...
 [ 4  6  6 ...  3  0  0]
 [ 1  2  5 ...  0  0  0]
 [ 0  0  2 ...  0  0  0]]",2
"[[25 25 25 ...  3  3  3]
 [ 4 25  6 ...  6  5  0]
 [ 5  6 25 ...  6  1  0]
 ...
 [ 0  4  5 ...  5  8  9]
 [ 0  0  0 ...  4  4  7]
 [ 0  0  0 ...  1  0  3]]",2
"[[ 5  4  6 ... 25 25 25]
 [ 5  3  5 ...  5  5  4]
 [ 4  1  4 ... 11  5  5]
 ...
 [25 25  5 ...  6  3  2]
 [ 1  1  4 ...  4  2  2]
 [ 1  1  2 ...  2  2  2]]",2
"[[ 0  4  5 ...  9  8  7]
 [ 3  4  5 ... 10  9  8]
 [ 3  3  3 ...  3  3  9]
 ...
 [ 4  4  6 ... 11  8  3]
 [ 3  4 25 ... 11  8  3]
 [ 1  2  3 ...  9  7  3]]",2
"[[ 7  8 25 ...  9 25  5]
 [ 8  9 25 ... 25  8  7]
 [ 9 25  3 ... 25  9  0]
 ...
 [ 0  0  1 ... 11  7  1]
 [ 0  2  2 ... 10 25  0]
 [ 1  1  4 ...  3  2  0]]",2
"[[25 25 25 ...  2  2  7]
 [ 8  9 10 ...  3  3  8]
 [ 6  8  7 ...  3  3  9]
 ...
 [ 0  0  3 ...  6  5  0]
 [ 0  0 25 ... 25 25  2]
 [ 0  0  1 ... 25 25  2]]",2
"[[ 6  7  9 ...  0  0  0]
 [ 7 25 25 ...  0  0  1]
 [ 8 25  3 ... 25  0  0]
 ...
 [25  5  5 ... 10  8  3]
 [ 0  3 25 ... 10  7  3]
 [ 1  2  1 ... 10  7  2]]",2
"[[ 0  0 25 ...  9  5  5]
 [ 4  4 25 ...  6  6  7]
 [ 5  6 11 ...  7  8  8]
 ...
 [ 4  5  7 ... 25  1  1]
 [ 0  2  5 ...  2  0  0]
 [ 0  0  1 ... 25  0  0]]",2
"[[ 7  0  0 ... 25  0  0]
 [25 25  2 ...  0  0  0]
 [ 1  5  6 ... 25 10  0]
 ...
 [ 5  5  6 ... 11 10 25]
 [ 1  3  6 ... 10  9  8]
 [ 2  2  3 ...  1 25 25]]",2
"[[ 2  8  9 ...  9  5  5]
 [ 4  9  9 ...  5  6  7]
 [ 5 25  2 ...  5  8  8]
 ...
 [ 0  0  1 ... 25  3  1]
 [ 0  0  1 ... 10  9 25]
 [ 0  0  1 ...  9  8  6]]",2
"[[ 7  4  4 ... 25 25  7]
 [ 7  4  4 ... 25 25 25]
 [ 3  1  1 ...  2  3  4]
 ...
 [ 0  0  1 ...  9  4  0]
 [ 0  1  2 ... 10 25  3]
 [ 0  2  2 ... 25  8  7]]",2
"[[25  8  9 ...  4  4  5]
 [25  9 10 ...  3  3 25]
 [ 7 10 11 ...  3  3 25]
 ...
 [ 5  5  5 ... 12  9  5]
 [ 0  4  5 ... 10  8  2]
 [ 1  1  1 ...  9  2  1]]",2
"[[25 25  1 ...  3  5  7]
 [ 0  0  1 ...  3  9  8]
 [ 0  0 25 ...  2 10  9]
 ...
 [ 4  5  6 ...  7  6  1]
 [ 3  4  5 ...  6 25  0]
 [ 0  0  1 ... 25  0  0]]",2
"[[ 0  3  6 ...  5  0  0]
 [ 0 25 10 ...  1 25 25]
 [ 3 10 11 ...  3 25 25]
 ...
 [ 0  0  0 ...  9  3  8]
 [ 0  0  1 ...  9  3  7]
 [ 2  4  4 ...  8  7  7]]",2
"[[ 7  7  4 ...  9  8  7]
 [ 8  9  0 ... 25 25  8]
 [ 9  1  0 ... 25  0  1]
 ...
 [ 4  5  5 ...  3 25 25]
 [ 0  1  4 ...  5  2  0]
 [ 0  0  0 ...  2  0  0]]",2
"[[ 3  1  0 ... 25 25  7]
 [ 2  0  0 ... 25 25 25]
 [25 10 11 ... 25 25 25]
 ...
 [ 0  0  1 ... 11 10 25]
 [ 0  0  2 ...  8 25  0]
 [ 0  3  2 ... 25  2  0]]",2
